File_Name,Folder_Name,Dataset,Event_Lable
uQVTqZ1MAQ_35_45.wav,target_Blender_DESED,DESED,Blender
k-2RZwDArWw_288_298.wav,target_Blender_DESED,DESED,Blender
L5jZgm0Xd2w_269_279.wav,target_Blender_DESED,DESED,Blender
ladKyOxydd4_251_261.wav,target_Blender_DESED,DESED,Blender
LU0ZWTmamKI_118_128.wav,target_Blender_DESED,DESED,Blender
lv14REvqCxY_422_432.wav,target_Blender_DESED,DESED,Blender
MB1Vmz4xasM_12_22.wav,target_Blender_DESED,DESED,Blender
mozHRWzXjWo_223_233.wav,target_Blender_DESED,DESED,Blender
mR1Bz7Vp_Zg_225_235.wav,target_Blender_DESED,DESED,Blender
mrZ2ILPp1f8_57_67.wav,target_Blender_DESED,DESED,Blender
NtkJOtpnZXQ_118_128.wav,target_Blender_DESED,DESED,Blender
oe2WvuNIMEM_226_236.wav,target_Blender_DESED,DESED,Blender
oQ2ERbbqL34_14_24.wav,target_Blender_DESED,DESED,Blender
PssP_Xz1cCs_329_339.wav,target_Blender_DESED,DESED,Blender
qDKmulbXO6k_0_10.wav,target_Blender_DESED,DESED,Blender
re5D4EZCpDU_156_166.wav,target_Blender_DESED,DESED,Blender
RrxUPpJ9zaM_84_94.wav,target_Blender_DESED,DESED,Blender
rzuH5Cz4nXQ_853_863.wav,target_Blender_DESED,DESED,Blender
S0j8EKgQBkE_402_412.wav,target_Blender_DESED,DESED,Blender
SRYDsLbMZY4_195_205.wav,target_Blender_DESED,DESED,Blender
Stny4tsJCQ8_16_26.wav,target_Blender_DESED,DESED,Blender
TjnpILW-m-Y_110_120.wav,target_Blender_DESED,DESED,Blender
TptPmlpVcgo_90_100.wav,target_Blender_DESED,DESED,Blender
TqMRd9pxWao_169_179.wav,target_Blender_DESED,DESED,Blender
TTNRGw4ljjQ_108_118.wav,target_Blender_DESED,DESED,Blender
uZNFZEVVFcQ_120_130.wav,target_Blender_DESED,DESED,Blender
VDMOFa8iRqo_396_406.wav,target_Blender_DESED,DESED,Blender
Vff26iSqK9I_13_23.wav,target_Blender_DESED,DESED,Blender
W7GdMZgJy64_480_490.wav,target_Blender_DESED,DESED,Blender
Wa2bJ45eazw_5_15.wav,target_Blender_DESED,DESED,Blender
wRG8xtPnRpI_145_155.wav,target_Blender_DESED,DESED,Blender
WuTzULvSYPo_216_226.wav,target_Blender_DESED,DESED,Blender
xkMBZ3Vrga8_78_88.wav,target_Blender_DESED,DESED,Blender
xsuC1pxCDr4_275_285.wav,target_Blender_DESED,DESED,Blender
x_VAsM7Gq68_737_747.wav,target_Blender_DESED,DESED,Blender
yL5PlVi24dI_958_968.wav,target_Blender_DESED,DESED,Blender
YMZ1Y6r_9Jc_205_215.wav,target_Blender_DESED,DESED,Blender
ySdXyt_XR9Y_210_220.wav,target_Blender_DESED,DESED,Blender
ZLdapxSVyV4_106_116.wav,target_Blender_DESED,DESED,Blender
zlKUSQuXYRU_130_140.wav,target_Blender_DESED,DESED,Blender
1-17092-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-17092-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-45641-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-58923-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-58923-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-61534-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-67432-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-68628-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-73544-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-82071-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-83536-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-85434-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-86160-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-92627-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-94230-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
2-96904-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-100024-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-100024-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-112522-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-118069-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-118069-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-126391-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-126391-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
3-139331-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-144468-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-144468-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-154405-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-154405-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-172500-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-172500-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-172500-C-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
4-172500-D-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-147297-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-180229-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-185516-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-212050-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-218196-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-218196-B-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-220939-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
5-238938-A-27.wav,target_brushing_teeth_ESC50,ESC50,brushing_teeth
1-13613-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-14262-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-34853-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-67033-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-72195-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-72195-B-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-74517-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-96890-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-102435-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-104475-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-104476-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-117116-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-78562-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-78562-B-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-89516-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
2-96063-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-117793-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-117883-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-120526-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-120526-B-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-131943-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-132340-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-139958-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
3-148297-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-151242-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-169508-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-172366-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-189332-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-198841-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-204684-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-209536-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
4-209698-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-210612-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-211408-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-219242-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-219242-B-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-223176-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-233645-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-234247-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
5-250629-A-37.wav,target_clock_alarm_ESC50,ESC50,clock_alarm
1-19111-A-24.wav,target_coughing_ESC50,ESC50,coughing
1-19118-A-24.wav,target_coughing_ESC50,ESC50,coughing
1-30830-A-24.wav,target_coughing_ESC50,ESC50,coughing
1-52266-A-24.wav,target_coughing_ESC50,ESC50,coughing
1-52323-A-24.wav,target_coughing_ESC50,ESC50,coughing
1-53663-A-24.wav,target_coughing_ESC50,ESC50,coughing
1-58792-A-24.wav,target_coughing_ESC50,ESC50,coughing
1-63679-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-108017-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-123896-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-85292-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-87412-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-87794-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-87795-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-87799-A-24.wav,target_coughing_ESC50,ESC50,coughing
2-98676-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-125418-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-132601-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-142604-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-145487-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-146873-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-149042-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-151212-A-24.wav,target_coughing_ESC50,ESC50,coughing
3-151213-A-24.wav,target_coughing_ESC50,ESC50,coughing
4-152995-A-24.wav,target_coughing_ESC50,ESC50,coughing
4-154443-A-24.wav,target_coughing_ESC50,ESC50,coughing
